Frecuencia	Fecha
3	20/01/2020
1	16/01/2020
3	19/01/2020
3	18/01/2020
1	5/01/2020
1	19/01/2020
9	6/01/2020
1	5/01/2020
4	26/01/2020
3	7/01/2020
4	19/01/2020
4	26/01/2020
4	3/01/2020
7	15/01/2020
10	24/01/2020
1	25/01/2020
10	26/01/2020
5	3/02/2020
5	3/02/2020
1	29/02/2020
3	15/02/2020
1	16/02/2020
1	25/02/2020
5	12/02/2020
1	1/02/2020
13	8/02/2020
1	12/02/2020
7	24/02/2020
11	27/02/2020
4	28/02/2020
6	8/02/2020
4	8/02/2020
6	21/02/2020
2	25/02/2020
2	29/02/2020
12	27/02/2020
36	29/02/2020
7	15/02/2020
4	20/02/2020
1	11/02/2020
1	23/02/2020
4	14/02/2020
1	15/02/2020
2	24/02/2020
3	2/02/2020
12	23/02/2020
4	8/02/2020
5	24/02/2020
4	14/02/2020
1	2/02/2020
36	29/02/2020
6	29/02/2020
5	19/02/2020
2	12/02/2020
6	21/02/2020
2	25/02/2020
1	15/02/2020
3	15/02/2020
5	4/02/2020
2	27/02/2020
2	24/02/2020
16	8/02/2020
1	1/02/2020
2	8/02/2020
5	4/02/2020
15	1/02/2020
6	29/02/2020
1	25/02/2020
11	27/02/2020
2	16/02/2020
10	2/02/2020
8	9/02/2020
4	8/02/2020
1	1/02/2020
20	7/02/2020
3	23/02/2020
3	8/02/2020
2	16/02/2020
1	27/02/2020
39	8/02/2020
3	2/02/2020
5	4/02/2020
6	6/02/2020
3	8/02/2020
7	4/02/2020
18	11/02/2020
8	13/02/2020
1	2/02/2020
7	15/02/2020
1	20/02/2020
5	4/02/2020
3	12/02/2020
30	21/02/2020
11	29/02/2020
1	23/02/2020
3	8/02/2020
2	19/02/2020
1	1/02/2020
5	21/02/2020
2	15/02/2020
7	14/02/2020
16	19/02/2020
1	22/02/2020
9	5/02/2020
4	19/02/2020
1	8/02/2020
15	29/02/2020
36	29/02/2020
2	23/02/2020
3	17/02/2020
5	9/02/2020
2	12/02/2020
8	15/02/2020
20	11/02/2020
2	21/02/2020
6	5/02/2020
4	6/02/2020
1	8/02/2020
20	11/02/2020
1	15/02/2020
3	8/02/2020
1	16/02/2020
1	1/02/2020
3	26/02/2020
1	20/02/2020
3	17/02/2020
7	21/02/2020
39	8/02/2020
2	20/02/2020
9	13/02/2020
5	1/02/2020
5	3/02/2020
6	8/02/2020
1	1/02/2020
3	16/02/2020
7	5/02/2020
4	8/02/2020
5	7/02/2020
6	28/02/2020
3	17/02/2020
4	16/02/2020
21	19/02/2020
15	29/02/2020
3	2/02/2020
3	26/02/2020
4	16/02/2020
12	25/02/2020
2	14/02/2020
2	19/02/2020
3	15/02/2020
15	4/02/2020
5	10/02/2020
3	12/02/2020
3	29/02/2020
1	6/02/2020
12	22/02/2020
11	27/02/2020
6	8/02/2020
4	20/02/2020
5	8/02/2020
8	15/02/2020
18	11/02/2020
2	11/02/2020
9	15/02/2020
1	1/02/2020
3	15/02/2020
3	16/02/2020
2	12/02/2020
9	15/02/2020
3	17/02/2020
1	8/02/2020
4	11/02/2020
20	20/02/2020
2	15/02/2020
1	6/02/2020
39	8/02/2020
6	9/02/2020
1	27/02/2020
9	19/02/2020
10	15/02/2020
2	12/02/2020
1	11/02/2020
3	21/02/2020
2	15/02/2020
4	16/02/2020
1	25/02/2020
1	11/02/2020
3	15/02/2020
5	6/02/2020
10	22/02/2020
4	8/02/2020
1	18/02/2020
3	15/02/2020
5	7/02/2020
1	15/02/2020
4	28/02/2020
12	25/02/2020
12	27/02/2020
8	15/02/2020
1	15/02/2020
21	19/02/2020
5	25/02/2020
9	4/02/2020
12	8/02/2020
7	20/02/2020
2	19/02/2020
2	15/02/2020
1	15/02/2020
1	11/02/2020
2	25/02/2020
2	25/02/2020
15	4/02/2020
11	29/02/2020
4	1/02/2020
1	5/02/2020
3	23/02/2020
5	8/02/2020
1	12/02/2020
5	4/02/2020
9	24/02/2020
2	20/02/2020
2	8/02/2020
4	29/02/2020
1	29/02/2020
1	13/02/2020
6	12/02/2020
20	20/02/2020
3	20/02/2020
2	1/02/2020
4	4/02/2020
2	11/02/2020
3	2/02/2020
2	28/02/2020
6	14/02/2020
4	8/02/2020
5	3/02/2020
2	20/02/2020
2	15/02/2020
4	16/02/2020
2	1/02/2020
2	27/02/2020
6	8/02/2020
2	10/02/2020
5	3/02/2020
1	25/02/2020
2	15/02/2020
2	19/02/2020
2	27/02/2020
5	2/02/2020
4	6/02/2020
2	15/02/2020
2	19/02/2020
18	11/02/2020
5	4/02/2020
2	17/02/2020
4	12/02/2020
2	7/02/2020
20	15/02/2020
5	15/02/2020
5	19/02/2020
4	17/02/2020
6	28/02/2020
12	13/02/2020
10	22/02/2020
2	17/02/2020
1	23/02/2020
5	21/02/2020
3	8/02/2020
36	29/02/2020
7	5/02/2020
2	21/02/2020
10	4/02/2020
3	23/02/2020
10	29/02/2020
18	11/02/2020
12	9/02/2020
1	12/02/2020
1	15/02/2020
6	13/02/2020
30	21/02/2020
2	15/02/2020
1	23/02/2020
12	28/02/2020
5	3/02/2020
8	2/02/2020
5	4/02/2020
6	3/02/2020
1	12/02/2020
2	2/02/2020
1	2/02/2020
2	22/02/2020
12	22/02/2020
7	28/02/2020
2	3/02/2020
4	2/02/2020
2	9/02/2020
13	14/02/2020
2	9/02/2020
9	13/02/2020
4	8/02/2020
16	19/02/2020
5	25/02/2020
1	18/02/2020
5	21/02/2020
1	3/02/2020
3	15/02/2020
2	23/02/2020
2	20/02/2020
3	12/02/2020
6	21/02/2020
6	26/02/2020
1	16/02/2020
1	7/02/2020
3	11/02/2020
4	13/02/2020
13	1/02/2020
5	3/02/2020
7	5/02/2020
6	26/02/2020
15	29/02/2020
5	16/02/2020
4	16/02/2020
4	21/02/2020
1	13/02/2020
3	23/02/2020
3	23/02/2020
8	22/03/2020
10	30/03/2020
18	12/03/2020
17	9/03/2020
3	7/03/2020
3	18/03/2020
4	15/03/2020
5	3/03/2020
5	22/03/2020
7	13/03/2020
10	17/03/2020
2	26/03/2020
5	13/03/2020
4	15/03/2020
1	22/03/2020
1	5/03/2020
1	14/03/2020
1	20/03/2020
1	17/03/2020
7	2/03/2020
20	1/03/2020
8	25/03/2020
3	2/03/2020
14	7/03/2020
12	25/03/2020
5	7/03/2020
2	18/03/2020
1	9/03/2020
2	1/03/2020
5	28/03/2020
18	29/03/2020
3	17/03/2020
22	6/03/2020
7	14/03/2020
2	14/03/2020
8	27/03/2020
3	18/03/2020
3	22/03/2020
5	22/03/2020
6	21/03/2020
7	4/03/2020
2	1/03/2020
5	13/03/2020
1	24/03/2020
4	20/03/2020
6	31/03/2020
4	25/03/2020
2	6/03/2020
3	18/03/2020
6	13/03/2020
1	17/03/2020
2	7/03/2020
1	11/03/2020
4	16/03/2020
19	28/03/2020
1	7/03/2020
1	18/03/2020
10	8/03/2020
4	14/03/2020
4	23/03/2020
8	25/03/2020
3	18/03/2020
10	2/03/2020
4	9/03/2020
2	13/03/2020
18	12/03/2020
1	1/03/2020
18	12/03/2020
5	13/03/2020
20	19/03/2020
1	27/03/2020
1	25/03/2020
6	14/03/2020
3	30/03/2020
2	8/03/2020
6	11/03/2020
5	7/03/2020
7	30/03/2020
20	1/03/2020
8	25/03/2020
10	26/03/2020
2	7/03/2020
1	17/03/2020
2	6/03/2020
3	15/03/2020
5	29/03/2020
1	9/03/2020
14	7/03/2020
2	18/03/2020
3	24/03/2020
14	7/03/2020
2	23/03/2020
1	7/03/2020
18	12/03/2020
4	5/03/2020
6	20/03/2020
18	12/03/2020
5	7/03/2020
6	25/03/2020
9	7/03/2020
4	26/03/2020
8	23/03/2020
10	16/03/2020
18	18/03/2020
22	26/03/2020
4	15/03/2020
18	12/03/2020
1	11/03/2020
4	18/03/2020
5	2/03/2020
1	11/03/2020
2	30/03/2020
10	16/03/2020
5	31/03/2020
7	5/03/2020
20	4/03/2020
6	7/03/2020
4	11/03/2020
7	1/03/2020
2	27/03/2020
6	22/03/2020
4	18/03/2020
7	1/03/2020
2	29/03/2020
1	11/03/2020
2	6/03/2020
7	7/03/2020
10	17/03/2020
6	14/03/2020
4	5/03/2020
2	18/03/2020
2	3/03/2020
2	22/03/2020
8	25/03/2020
5	28/03/2020
5	1/03/2020
2	5/03/2020
1	21/03/2020
4	1/03/2020
2	21/03/2020
5	13/03/2020
1	4/03/2020
2	14/03/2020
3	15/03/2020
1	7/03/2020
15	22/03/2020
1	18/03/2020
1	9/03/2020
4	20/03/2020
10	19/03/2020
4	9/03/2020
1	25/03/2020
2	6/03/2020
2	7/03/2020
15	19/03/2020
18	12/03/2020
4	15/03/2020
10	26/03/2020
4	8/03/2020
10	31/03/2020
10	17/03/2020
3	15/03/2020
2	21/03/2020
1	4/03/2020
2	3/03/2020
2	23/03/2020
4	13/03/2020
5	27/03/2020
30	16/03/2020
1	31/03/2020
7	5/03/2020
5	13/03/2020
7	5/03/2020
3	11/03/2020
20	4/03/2020
7	1/03/2020
5	13/03/2020
7	5/03/2020
1	17/03/2020
3	22/03/2020
14	12/03/2020
8	15/03/2020
11	17/03/2020
18	12/03/2020
2	14/03/2020
1	11/03/2020
3	21/03/2020
1	7/03/2020
3	29/03/2020
3	1/03/2020
1	22/03/2020
5	22/03/2020
4	5/03/2020
3	15/03/2020
3	12/03/2020
4	14/03/2020
4	23/03/2020
2	8/03/2020
3	18/03/2020
6	22/03/2020
2	23/03/2020
2	7/03/2020
2	5/03/2020
2	31/03/2020
3	30/03/2020
7	5/03/2020
2	3/03/2020
2	14/03/2020
2	7/03/2020
11	21/03/2020
4	30/03/2020
6	8/03/2020
26	7/03/2020
3	9/03/2020
7	1/03/2020
3	18/03/2020
4	16/03/2020
1	11/03/2020
3	29/03/2020
4	14/03/2020
2	22/03/2020
8	13/03/2020
3	2/03/2020
8	20/03/2020
2	28/03/2020
1	6/03/2020
10	2/03/2020
3	17/03/2020
6	1/03/2020
1	29/03/2020
2	7/03/2020
3	24/03/2020
4	7/03/2020
3	20/03/2020
