"sem"	"mes"	"freq"
"1"	1	1	0.0188769591666667
"2"	2	1	0.0212146475
"3"	3	1	0.0221117233333333
"4"	4	1	0.0233769933333333
"5"	5	2	0.0214743658333333
"6"	6	2	0.0238201875
"7"	7	2	0.0162246125
"8"	8	2	0.0248273083333333
"9"	9	3	0.018342335
"10"	10	3	0.0254435441666667
"11"	11	3	0.0225433708333333
"12"	12	3	0.0190217241666667
"13"	13	4	0.0150906458333333
"14"	14	4	0.0126893966666667
"15"	15	4	0.0168831125
"16"	16	4	0.00815216666666667
"17"	17	5	0.0104683108333333
"18"	18	5	0.00663471916666667
"19"	19	5	0.00764160416666667
"20"	20	5	0.00395986583333333
"21"	21	6	0.00434583333333333
"22"	22	6	0.0061111075
"23"	23	6	0.0120833333333333
"24"	24	6	0.0119959775
"25"	25	7	0.0116862525
"26"	26	7	0.0118654683333333
"27"	27	7	0.0160958908333333
"28"	28	7	0.01099007
"29"	29	8	0.0129761016666667
"30"	30	8	0.00833332583333333
"31"	31	8	0.0106725208333333
"32"	32	8	0.0128761316666667
"33"	33	9	0.0153659116666667
"34"	34	9	0.00820459916666667
"35"	35	9	0.0150383658333333
"36"	36	9	0.01217777
"37"	37	10	0.0210858516666667
"38"	38	10	0.0210058891666667
"39"	39	10	0.0255787133333333
"40"	40	10	0.0318412108333333
"41"	41	11	0.0255026866666667
"42"	42	11	0.0355871866666667
"43"	43	11	0.0342892316666667
"44"	44	11	0.0306469158333333
"45"	45	12	0.0283185866666667
"46"	46	12	0.0349431733333333
"47"	47	12	0.0300154383333333
"48"	48	12	0.0249744808333333
"49"	49	13	0.0256549333333333
"50"	50	13	0.0256814814814815
"51"	51	13	0.0286158407407407
"52"	52	13	0.0258123148148148
"53"	53	14	0.0221161748148148
"54"	54	14	0.0272870940740741
"55"	55	14	0.0301809614814815
"56"	56	14	0.0217671237037037
"57"	57	15	0.026140642962963
"58"	58	15	0.0279100548148148
"59"	59	15	0.0198591562962963
"60"	60	15	0.0130844748148148
"61"	61	16	0.0105605674074074
"62"	62	16	0.00983876518518519
"63"	63	16	0.013123082962963
"64"	64	16	0.00766731407407407
"65"	65	17	0.00664916296296296
"66"	66	17	0.00515135407407407
"67"	67	17	0.00931900222222222
"68"	68	17	0.00611034814814815
"69"	69	18	0.00599058740740741
"70"	70	18	0.00864924222222222
"71"	71	18	0.00835555185185185
"72"	72	18	0.00470052666666667
"73"	73	19	0.00520929481481482
"74"	74	19	0.00562962962962963
"75"	75	19	0.00383055555555556
"76"	76	19	0.00684291037037037
"77"	77	20	0.00650205259259259
"78"	78	20	0.00762371481481481
"79"	79	20	0.00663190296296296
"80"	80	20	0.00527065925925926
"81"	81	21	0.0110433133333333
"82"	82	21	0.00744073703703704
"83"	83	21	0.0089050437037037
"84"	84	21	0.0105382792592593
"85"	85	22	0.0137316385185185
"86"	86	22	0.0147519066666667
"87"	87	22	0.0244474992592593
"88"	88	22	0.0208674355555556
"89"	89	23	0.0204183222222222
"90"	90	23	0.0222333318518519
"91"	91	23	0.0188542748148148
"92"	92	23	0.0166477274074074
"93"	93	24	0.0222444385185185
"94"	94	24	0.0213004896296296
"95"	95	24	0.0331592592592593
"96"	96	24	0.0185951985185185
"97"	97	25	0.0112134076335878
"98"	98	25	0.00949392671755725
"99"	99	25	0.0115925572519084
"100"	100	25	0.0104944473282443
"101"	101	26	0.0135114503816794
"102"	102	26	0.0144030038167939
"103"	103	26	0.00992840152671756
"104"	104	26	0.0119756396946565
"105"	105	27	0.0184478312977099
"106"	106	27	0.0122801351145038
"107"	107	27	0.0142121320610687
"108"	108	27	0.0151083152671756
"109"	109	28	0.0177984458015267
"110"	110	28	0.0133586908396947
"111"	111	28	0.0127340923664122
"112"	112	28	0.00781389694656489
"113"	113	29	0.00888964809160305
"114"	114	29	0.00756071755725191
"115"	115	29	0.0044722
"116"	116	29	0.00427744580152672
"117"	117	30	0.00507285496183206
"118"	118	30	0.00953525190839695
"119"	119	30	0.00765649236641221
"120"	120	30	0.00531125572519084
"121"	121	31	0.0122301648854962
"122"	122	31	0.00925954198473282
"123"	123	31	0.00686422442748092
"124"	124	31	0.0066608106870229
"125"	125	32	0.00692614351145038
"126"	126	32	0.0176853374045802
"127"	127	32	0.0115889374045802
"128"	128	32	0.0100199229007634
"129"	129	33	0.0103879709923664
"130"	130	33	0.00774036717557252
"131"	131	33	0.0162611519083969
"132"	132	33	0.0137471030534351
"133"	133	34	0.0139126061068702
"134"	134	34	0.0161694312977099
"135"	135	34	0.0218248801526718
"136"	136	34	0.0196690259541985
"137"	137	35	0.0134119748091603
"138"	138	35	0.0246811290076336
"139"	139	35	0.0201022740458015
"140"	140	35	0.0198944511450382
"141"	141	36	0.0162642824427481
"142"	142	36	0.0151686648854962
"143"	143	36	0.0241070503816794
"144"	144	36	0.0212141229007634
"145"	145	37	0.0209118947368421
"146"	146	37	0.0216815957894737
"147"	147	37	0.0195010915789474
"148"	148	37	0.0168603242105263
"149"	149	38	0.0176385052631579
"150"	150	38	0.0227669610526316
"151"	151	38	0.0146092431578947
"152"	152	38	0.0219548978947368
"153"	153	39	0.0185042252631579
"154"	154	39	0.0136260894736842
"155"	155	39	0.0213618368421053
"156"	156	39	0.0216770852631579
"157"	157	40	0.02077192
"158"	158	40	0.0171880978947368
"159"	159	40	0.0115877968421053
"160"	160	40	0.00864952421052632
"161"	161	41	0.00760234526315789
"162"	162	41	0.00715688526315789
"163"	163	41	0.00380739157894737
"164"	164	41	0.00346301157894737
"165"	165	42	0.00206608105263158
